isbn_13,description
9781101583821,A major new novel from the most important Vietnamese author writing today Duong Thu Huong has won acclaim for her exceptional lyricism and psychological acumen as well as for her unflinching portraits of modern Vietnam and its culture and people In this monumental new novel she offers an intimate imagined account of the final months in the life of President Ho Chi Minh at an isolated mountaintop compound where he is imprisoned both physically and emotionally weaving his story in with those of his wifes brotherinlaw an elder in a small village town and a close friend and political ally to explore how we reconcile the struggles of the human heart with the external world These narratives portray the thirst for absolute power both political and otherwise and the tragic consequences on family community and nationhood that can occur when jealousy is coupled with greed or mixed with a lust for power The Zenith illuminates and captures the moral conscience of Vietnamese leaders in the 1950s and 1960s as no other book ever has as well as bringing out the souls of ordinary Vietnamese living through those tumultuous times
9781799031697,It matters not if you are a manager a taxi driver or a housekeeper at heart you are a warriorThe Warrior Daytimer Pocket is exactly what you need to be reminded your True nature each day of the year whenever you go365 quotes from ancient wisdom to help you face your daily battles and win the challenges you are put against in the modern human arenaWith strength honor and resilienceAlso blank space on each page for your thoughts deeds and aims
9788862080699,This volume retraces the history of the famous Swiss watch house Zenith documenting events and production over the course of the past 140 years Setting out from the first pocket watches which after the 30s gradually gave way to more modern wrist contraptionsaccessories initially seen in a very negative lightthe book documents the invention of both the revolutionary 17 ligne movement and one of the sectors bestknown calibers the legendary El Primero With more than 700 illustrations with detailed captions Zenith also includes the increasingly specialized models of later years including waterproof casings chronometers chronographs with special dials and timepieces for the military sport and medical sectors Not to mention anecdotes memorabilia and rare period advertisements
9780801471810,In 1940 Japan was into its third year of war with China and relations with the United States were deteriorating but it was a heady time for the Japanese nonetheless That year the Japanese commemorated the 2600th anniversary of the founding of the Empire of Japan According to the imperial mythhistory Emperor Jimmu descended from the Sun Goddess Amaterasu established the unbroken imperial line in 660 BCE In carefully choreographed ceremonies throughout the empire through new public monuments with visual culture and through heritage tourism the Japanese celebrated the extension of imperial rule under the 124th emperor Hirohito These celebrations the climactic moment for the ideology that was central to modern Japans identity until the imperial cults legitimacy was bruised by defeat in 1945 are little known outside Japan Imperial Japan at Its Zenith the first book in English about the 2600th anniversary examines the themes of the celebration and what they tell us about Japan at midcentury Kenneth J Ruoff emphasizes that wartime Japan did not reject modernity in favor of nativist traditionalism Instead like Nazi Germany and Fascist Italy it embraced reactionary modernism Ruoff also highlights the role played by the Japanese people in endorsing and promoting imperial ideology and expansion documenting the significant grassroots support for the cult of the emperor and for militarism Ruoff uses the anniversary celebrations to examine Japans invention of a national history the complex relationship between the homeland and the colonies the significance of Imperial Japans challenge to EuroAmerican claims of racial and cultural superiority the role of heritage tourism in inspiring national pride Japans wartime fascist modernity and with a chapter about overseas Japanese the boundaries of the Japanese nation Packed with intriguing anecdotes incisive analysis and revelatory illustrations Imperial Japan at Its Zenith is a major contribution to our understanding of wartime Japan
9780330462136,Sixteenyearold Mara and her ship of refugees are tracking the North Star desperate to find a homeland in the melted ice mountains of Greenland The vast floating city of Pomperoy is just one of the shocks that are not in their navigation plans Unwittingly the refugees bring catastrophe in their wake for Tuck a gypsea pirateboy and also for Ilira a land whose inhabitants exist in a state of terror at the top of the world Back in the drowned ruins at the feet of the towering sky city Fox is beginning his battle with the cruel corrupt forces that rule the New World But separated from Mara his resolve begins to waver 
9781781106945,Based on an original new story by JK Rowling Jack Thorne and John Tiffany a new play by Jack Thorne Harry Potter and the Cursed Child is the eighth story in the Harry Potter series and the first official Harry Potter story to be presented on stage The play received its world premiere in Londons West End on 30th July 2016 It was always difficult being Harry Potter and it isnt much easier now that he is an overworked employee of the Ministry of Magic a husband and father of three schoolage children While Harry grapples with a past that refuses to stay where it belongs his youngest son Albus must struggle with the weight of a family legacy he never wanted As past and present fuse ominously both father and son learn the uncomfortable truth sometimes darkness comes from unexpected places
9781781105757,A brand new edition of this essential companion to the Harry Potter stories with a new foreword from JK Rowling writing as Newt Scamander and 6 new beasts A set textbook at Hogwarts School of Witchcraft and Wizardry since publication Newt Scamanders masterpiece has entertained wizarding families through the generations Fantastic Beasts and Where to Find Them is an indispensable introduction to the magical beasts of the wizarding world Scamanders years of travel and research have created a tome of unparalleled importance Some of the beasts will be familiar to readers of the Harry Potter books the Hippogriff the Basilisk the Hungarian HorntailOthers will surprise even the most ardent amateur Magizoologist Dip in to discover the curious habits of magical beasts across five continents At least 15 of the net retail price of this eBook will be available to Comic Relief and Lumos Foundation for their work with children and young people to help them have a better life 20 of these monies will be used by Comic Relief and 80 will be used by Lumos Foundation The net retail price means the price paid by the consumer less applicable sales taxes Comic Relief is a registered charity in the UK with charity nos 326568 EnglandWales and SC039730 Scotland Lumos Foundation is a registered charity in the UK with no 1112575 Please note This is the 2017 edition of the Hogwarts Library ebook featuring bespoke cover artwork from Olly Moss and a new foreword from JK Rowling The official screenplay of the 2016 Warner Bros movie Fantastic Beasts and Where to Find Them The Original Screenplay is available separately
9781911641926,Introducing the first official Harry Potter knitting book a deluxe guide to creating over 25 authentic Harry Potter knits based on the iconic films Channel the magic of the Harry Potter films from the screen to your needles with the ultimate knitters guide to the Wizarding World Featuring over 25 magical knits the book includes patterns for clothing home projects and keepsakes pulled straight from the movies and even includes a few iconic costume pieces as seen onscreen With yarn suggestions based on the True colours used in the films projects ranging from simple patterns like the Hogwarts house scarves to more complex projects like Mrs Weasleys Christmas jumper knit your own wizarding world Projects Crafty Creatures patterns for Hedwig Cornish Pixie Fluffy the ThreeHeaded Dog Wizarding Wardrobe patterns for Mrs Weasleys HomeKnit Christmas jumpers and Hogwarts house scarves Inspired Apparel clothes and accessories inspired by characters artefacts and themes from the films such as a Expecto Patronum mittens and Quidditch socks Delightful Decor dress your home with Harry Potter decorative accessories such as Hogwarts House mug cosies and Seven Horcruxes tea towels A True fan musthave this book also includes fun facts original costume sketches film stills and other behindthescenes treasures Harry Potter Knitting Magic is sure to have fans everywhere summoning needles conjuring yarn and practicing their best knitting wizardry
9780563533375,An adult edition of the hugely popular book Find out how Harry discovers his True heritage at Hogwarts School of Wizardry and Witchcraft the reason behind his parents mysterious death who is out to kill him and how he uncovers the most fabled secret of all time
9781781106464,All seven eBooks in the multiaward winning internationally bestselling Harry Potter series available as one download with stunning cover art by Olly Moss Enjoy the stories that have captured the imagination of millions worldwide
9781781100226,There is a plot Harry Potter A plot to make most terrible things happen at Hogwarts School of Witchcraft and Wizardry this year Harry Potters summer has included the worst birthday ever doomy warnings from a houseelf called Dobby and rescue from the Dursleys by his friend Ron Weasley in a magical flying car Back at Hogwarts School of Witchcraft and Wizardry for his second year Harry hears strange whispers echo through empty corridors and then the attacks start Students are found as though turned to stone Dobbys sinister predictions seem to be coming True
9781476635521,The generation of readers most heavily impacted by JK Rowlings Harry Potter seriesthose who grew up alongside the boy who livedhave come of age They are poised to become teachers parents critics and writers and many of their views and choices will be influenced by the literary revolution in which they were immersed This collection of new essays explores the many different ways in which Harry Potter has shaped this generations views on everything from politics to identity to pedagogical spaces online It seeks to determine how the books have affected fans understanding of their place in the world and their capacity to create it anew
9781781109502,The official companion book to the British Library exhibition and the ultimate gift for Harry Potter fans As the British Library unveils a very special new exhibition in the UK Harry Potter A History of Magic readers everywhere are invited on an enchanting journey through the Hogwarts curriculum from Care of Magical Creatures and Herbology to Defense Against the Dark Arts Astronomy and more in this eBook uncovering thousands of years of magical history Prepare to be amazed by artifacts released from the archives of the British Library unseen sketches and manuscript pages from JK Rowling and incredible illustrations from artist Jim Kay Discover the truth behind the origins of the Philosophers Stone monstrous dragons and troublesome trolls examine reallife wands and find out what actually makes a mandrake scream pore over remarkable pages from da Vincis notebook and discover the oldest atlas of the night sky Carefully curated by the British Library and full of extraordinary treasures from all over the world this is an unforgettable journey exploring the history of the magic at the heart of the Harry Potter stories
9780715141069,Fact 1 The seven Harry Potter books have sold more than 350 million copies in 200 countries and the films are one of the highest grossing film series of all time It is a cultural phenomenon in which our young people are greatly immersed Fact 2 Young people aged 913 are a massively underresourced age group in churches Spanning the tweenager and tweenie age zones young people of this age are increasingly fashionaware mediasavvy and worldlywise They dont regard themselves as children but are not yet adults This new book addresses both the need and the cultural interestIn 12 sessions Mixing it up with Harry Potter draws parallels between events in the Harry Potter world and the world in which our young people live These parallels allow you to explore Christian concepts with your young people and engage with the Christian faith through the themes demonstrated from complex subjects such as Sacrifice and Mercy to everyday issues such as Fitting in and Boasting with an introduction to the book covering all you need to consider in terms of health and safety child protection and how to handle the aspects of Harry Potter that are not always very godlyMixing it up with Harry Potter will help young people to delight in their faith and encourage them to see that a relationship with God is even more enchanting than a visit to HogwartsEach session is divided into five parts and includes photocopiable material Beforehand to help leaders prepare the session Opening Activity introducing the session to the young people in an interactive and fun format Film Clip a short clip from one of the Harry Potter films Taking It Further developing the theme and exploring it in greater depth Bible Focus a Bible verse that deals with the Christian perspective of the theme Prayer Response prayer activity drawing on the theme and giving space for response
9780826215499,Now available in paper The Ivory Tower and Harry Potter is the first booklength analysis of J K Rowlings work from a broad range of perspectives within literature folklore psychology sociology and popular culture A significant portion of the book explores the Harry Potter series literary ancestors including magic and fantasy works by Ursula K LeGuin Monica Furlong Jill Murphy and others as well as previous works about the British boarding school experience Other chapters explore the moral and ethical dimensions of Harrys world including objections to the series raised within some religious circles In her new epilogue Lana A Whited brings this volume up to date by covering Rowlings latest book Harry Potter and the Order of the Phoenix
9781444003147,Number One for Fiendish Fun This book contains HIDEOUS behavior terrible dancing disgusting glop and a trip to France Four utterly hilarious and totally brilliant Horrid Henry stories by Francesca Simon with illustrations by Tony Ross An irresistible introduction to reading for pleasure
9781444008555,Number One for Fiendish Fun This book contains a TERRIFYING nightmare a demon dinner lady a mothers day disaster and a CRAZY cat Four utterly hilarious and totally brilliant Horrid Henry stories by Francesca Simon with illustrations by Tony Ross An irresistible introduction to reading for pleasure
9780955679308,This is a story about a fly that does not know when to give up The cat having to live with it just does not know what to doinstead he does nothing
9781402256752,Henry is up to his usual mischief annoying his younger brother ruining Moody Margarets sleepover and irritating his teacher Mrs Battleaxenot to mention trying to manipulate his family into seeing his favorite bandthe Killer Boy Rats Kids will love reading the laughoutloud funny stories about someone whose behavior is even worse than their own School Library Journal Not since Nate the Great has an early reader series created such a buzz Los Angeles Times Will engage even the most reluctant readers Publishers Weekly
9781317776338,First published in 2000 Routledge is an imprint of Taylor Francis an informa company
9780878057580,Traces the history of comic books discusses the economics of the field and the changing relationship between the words and the pictures and profiles leading artists
9780878054060,Describes changing public attitudes towards comic books
9780801874505,Portrays the role of comic books in shaping American youth and pop culture from Batmans struggles with corrupt politicians during the Depression to Iron Mans Cold War battles
9781444358292,Comic Relief A Comprehensive Philosophy of Humor develops an inclusive theory that integrates psychological aesthetic and ethical issues relating to humor Offers an enlightening and accessible foray into the serious business of humor Reveals how standard theories of humor fail to explain its True nature and actually support traditional prejudices against humor as being antisocial irrational and foolish Argues that humors benefits overlap significantly with those of philosophy Includes a foreword by Robert Mankoff Cartoon Editor of The New Yorker
9781920845483,Essays on contemporary political cartooning in AustraliaProvided by publisher
9780439043830,Comics Math Fun This zany collection of cartoons and companion word problems helps students learn fundamental math concepts like addition subtraction multiplications division fractions decimals and more Onecolor illustrations
9781893905429,Presents collections of articles that cover the history of comic books along with interviews with notable cartoonists
9781885477224,Comic Strip Conversations are based on the belief that visualization and visual supports found useful in structuring the learning of students with autism may also improve their understanding and comprehension of conversationthe use of a basic set of symbols and colours are used in this book to illustrate social skills which are abstract and difficult for students with autism to understandp1
9780878054992,This classic 1947 study the first of its kind probes the mass popularity of the comics as well as exploring their evolution social commentary art forms and genres
9780857284495,Horror and the Horror Film is a vivid compelling insightful and wellwritten study of the horror film and its subgenres from 1896 to the present concentrating on the nature of horror in reality and on film
9780813533636,In this volume Stephen Prince has collected essays reviewing the history of the horror film and the psychological reasons for its persistent appeal as well as discussions of the developmental responses of young adult viewers and children to the genre The book focuses on recent postmodern examples such as The Blair Witch Project In a daring move the volume also examines Holocaust films in relation to horror Part One features essays on the silent and classical Hollywood eras Part Two covers the postWorld War II era and discusses the historical aesthetic and psychological characteristics of contemporary horror films In contrast to horror during the classical Hollywood period contemporary horror features more graphic and prolonged visualizations of disturbing and horrific imagery as well as other distinguishing characteristics Princes introduction provides an overview of the genre contextualizing the readings that follow Stephen Prince is professor of communications at Virginia Tech He has written many film books including Classical Film Violence Designing and Regulating Brutality in Hollywood Cinema 19301968 and has edited Screening Violence also in the Depth of Field Series
9780415235624,Key articles and essays introduce students to debates over the definition of the horror film as a genre its sexual politics and its conditions of production and consumption
9781594741791,Teaches readers how to cope with every kind of horror movie obstacle from axwielding psychopaths to haunted Japanese VHS tapes and is full of illustrated instructions on avoiding ghosts serial killers haunted cars murderous pets telekinetic prom queens and countless other hazards Original
9780470672600,This cuttingedge collection features original essays by eminent scholars on one of cinemas most dynamic and enduringly popular genres covering everything from the history of horror movies to the latest critical approaches Contributors include many of the finest academics working in the field as well as exciting younger scholars Varied and comprehensive coverage from the history of horror to broader issues of censorship gender and sexuality Covers both Englishlanguage and nonEnglish horror film traditions Key topics include horror film aesthetics theoretical approaches distribution art house cinema ethnographic surrealism and horrors relation to documentary film practice A thorough treatment of this dynamic film genre suited to scholars and enthusiasts alike
9781903364000,A comprehensive introduction to the history and key themes of the genre The main issues and debates raised by horror and the approaches and theories that have been applied to horror texts are all featured In addressing the evolution of the horror film in social and historical context Paul Wells explores how it has reflected and commented upon particular historical periods and asks how it may respond to the new millennium by citing recent innovations in the genres development such as the urban myth narrative underpinning Candyman and The Blair Witch Project Over 300 films are treated all of which are featured in the filmography
9780786484805,This filmography covers more than 300 horror films released from 1990 through 1999 The horror genres trends and cliches are connected to social and cultural phenomena such as Y2K fears and the Los Angeles riots Popular films were about serial killers aliens conspiracies and sinister interlopers new monsters who shambled their way into havoc Each of the films is discussed at length with detailed credits and critical commentary There are six appendices 1990s cliches and conventions 1990s hall of fame memorable ad lines movie references in Scream 1990s horrors vs The XFiles and the decades ten best Fully indexed 224 photographs
9780813550398,Ever since horror leapt from popular fiction to the silver screen in the late 1890s viewers have experienced fear and pleasure in exquisite combination Wheeler Winston Dixons A History of Horror is the only book to offer a comprehensive survey of this everpopular film genre Arranged by decades with outliers and franchise films overlapping some years this onestop sourcebook unearths the historical origins of characters such as Dracula Frankenstein and the Wolfman and their various incarnations in film from the silent era to comedic sequels A History of Horror explores how the horror film fits into the Hollywood studio system and how its enormous success in American and European culture expanded globally over time Dixon examines key periods in the horror filmin which the basic precepts of the genre were established then banished into conveniently reliable and malleable forms and then after collapsing into parody rose again and again to create new levels of intensity and menace A History of Horror supported by rare stills from classic films brings over fifty timeless horror films into frightfully clear focus zooms in on todays top horror Web sites and champions the stars directors and subgenres that make the horror film so exciting and popular with contemporary audiences
9780203882184,Horror cinema is a hugely successful but at the same time culturally illicit genre that spans the history of cinema It continues to flourish with recent cycles of supernatural horror and torture porn that span the full range of horror styles and aesthetics It is enjoyed by audiences everywhere but also seen as a malign influence by others In this Routledge Film Guidebook audience researcher and film scholar Brigid Cherry provides a comprehensive overview of the horror film and explores how the genre works Examining the way horror films create images of gore and the uncanny through film technology and effects Cherry provides an account of the way cinematic and stylistic devices create responses of terror and disgust in the viewer Horror examines the way these films construct psychological and cognitive responses and how they speak to audiences on an intimate personal level addressing their innermost fears and desires Cherry further explores the role of horror cinema in society and culture looking at how it represents various identity groups and engages with social anxieties and examining the way horror sees and is seen by society
9780810850132,The original edition of Planks of Reason was the first academic critical anthology on horror In retrospect it appeared as a kind of homage to the golden age of the American horror film as this genre played an increasing role in film culture and American life This revised edition retains the spirit of the original but also offers new takes on rediscovered classics and recent developments in the genre
9781786032720,A facsimile edition of the tattered notebooks of the Unknown Adventurer this love letter to the wild details everything you need to know about how to live and thrive in nature from the principles of treehouse building to wilderness first aid If you are reading this it means my notebooks have been found I am leaving them here at camp for safekeeping along with a few other belongings that I wont be taking with me The notebooks are a lifetimes worth of knowledge which Im passing on the you So reads an excerpt from the weatherworn letter discovered by nature enthusiast Teddy Keen on a recent trip to the Amazon along with sketchbooks filled with details of extraordinary adventures and escapades expedition advice and survival methods annotated with captivating coloredpencil drawings It is thought that the sketchbooks were created for two young relatives of the author Drawing on Teddys knowledge of the outdoors the pages of the sketchbooks have been carefully transcribed for young readers as they were originally intended Youll be transported by riveting adventure tales from around the globe like being dragged off by a hyena in Botswana surviving a Saharan dust storm being woken by an intrepid emperor penguin in Antarctica and coming facetoface with a venomous bushmaster one of the most dangerous snakes on the planetall told in lyrical prose and illustrations that wonder at the mysterious beauty of the wild Having inspired the adventurous spirit in you the Unknown Adventurer encourages you to set out on your own adventure with information on wild camping rafting exploration and shelters and dens plus tips on first aid and tying knots Expert instructions on wilderness basics like building a fire what to do if you get lost and how to build various types of shelters are accompanied by more specific skills culled from many years of experience like baking campfire bread creating a toothbrush from a twig making a suture from soldier ants and even how to pan for gold Find your way back to your primal self with the immersive text and glorious color artwork of this oneofakind adventure book REMEMBER be good be adventurousand look after your parents
9781906838560,This is a guide to the great outdoors for little adventurers Moomintroll with a little help from his friends and family shows us how to explore the world beyond our doorstep inventing games making toys eating good food and having fun Moominstyle
9780415892902,The evolution and history of adventure therapy as chronicled in the second chapter of this book well demonstrates how far this field has evolved from a divergent therapy into an efficacious form of therapy that engages clients on cognitive affective and behavioral levels Adventure Therapy is written by three professionals who have been at the forefront of the field since its infancy The theory techniques research and case studies they present are the cutting edge of this field The authors focus on the theory substantiating adventure therapy illustrations that exemplify best practices the research validating the immediate as well as longterm effects of adventure therapy when properly conducted This book is the leading academic text professional reference and training resource for adventure therapy practices in the field of mental health It is appropriate for a wide range of audiences including beginner and experienced therapists as well as graduate students
9781845931230,Adventure tourism is a new rapidly growing area at both practical and academic levels Written at an introductory level Adventure Tourism provides a basic background and covers commercial adventure tourism products across a range of adventure tourism sectors
9780822332879,DIVPokemon in a transnational and multidisciplinary perspectivediv
9781423623823,None
9780226098678,A study of the popular plot formulas and chief practitioners of the detective and crime story western and social melodrama assessing their artistic and cultural significance
9781849944847,A practical companion to help kids enjoy outdoor activities and adventures even when its rainy snowy or windy As the weather turns into autumn and the kids start watching more television and stare at the computer how can you get them out and about to enjoy the cooler months Outdoor enthusiasts Steph and Katie are teachers and mothers and have years of experience of finding new and novel ways to get kids to enjoy the great outdoors whatever the weather This great little tome is packed with ideas for games activities and nature crafts that are perfectly suited to the autumnal and winter months of rain and wind Activities range from puddle painting and making your own nature paint brushes to making wind spinners from golden leaves and feathers Why not try puddle pouncing or raindrop racing or create a pool and spa for an elf Or make a leafy woven kite windmill or nature parachute for the windy weather Nature offers loads of autumnal bits and bobs just waiting for a creative hand And if you dont want to stay out for too long the book lists things to collect outdoors for taking home and used for stayathome projects The book encourages youngsters to see the excitement of wind snow rain and to enjoy the elements with fun projects that excite the imagination
9780810160651,In 1932 Peter Fleming a literary editor engaged to search for missing English explorer Colonel PH Fawcett lost in tributary of the Amazon with the hardships of meager supplies faulty maps and a pack of rival newspapermen on their trail
9780871699237,None
9780253347138,This bold and original book examines in detail a relatively new genre of filmthe erotic thriller Linda Ruth Williams traces the genres exploitation of pornography and noir discusses mainstream stars including Michael Douglas and Sharon Stone as well as genrebranded directtovideo stars charts the work of key producers and directors and considers home videos as a distinct form of viewing pleasure She maps the history of the genre analyzing hundreds of movies from blockbusters such as Basic Instinct Fatal Attraction and In the Cut to straighttovideo film titles such as Carnal Crimes Sins of Desire and Night Eyes Williamss witty and illuminating readings tell the story of this sensational genre and contribute to the analysis of mainstream screen sexand its censorshipat the beginning of the 21st century She shows that as the erotic thriller plays out the sexual fantasies of contemporary America it also provides a vehicle for marketing those fantasies globally
