uid,isbn_13,isbn_10,title,authors,publisher,publishedDate,categories,averageRating,ratings,favourites_count,reading_now_count,to_read_count,have_read_count,thumbnail
rwPe3Wo1YvUC,9.78144E+12,1444002775,Rock Star,Francesca Simon,Hachette UK,02/09/2010,Juvenile Fiction,5,1,0,0,0,0,http://books.google.com/books/content?id=rwPe3Wo1YvUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
MGinAgAAQBAJ,9.78144E+12,1444014293,Horrid Henry's Big Bad Book,Francesca Simon,Hachette UK,07/08/2014,Juvenile Fiction,0,0,0,0,0,0,http://books.google.com/books/content?id=MGinAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
qdCSAwmHexgC,9.78184E+12,1842557319,Bank Robber,Francesca Simon,Hachette UK,29/04/2010,Juvenile Fiction,3,2,0,0,0,0,http://books.google.com/books/content?id=qdCSAwmHexgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
FXk0VOiLQwEC,9.78144E+12,1444001043,Waking the Dead,Francesca Simon,Hachette UK,05/11/2009,Juvenile Fiction,4.5,2,0,0,0,0,http://books.google.com/books/content?id=FXk0VOiLQwEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
-9pC6p-1ctcC,9.78144E+12,1444006797,Horrid Henry's Sports,Francesca Simon,Hachette UK,02/02/2012,Juvenile Nonfiction,5,1,0,0,0,0,http://books.google.com/books/content?id=-9pC6p-1ctcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
XQLUR2zJOUYC,9.78044E+12,439286832,Horrid Henry Strikes It Rich,Francesca Simon,Scholastic,01/01/1998,Brothers,0,0,0,0,0,0,http://books.google.com/books/content?id=XQLUR2zJOUYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
d6IyDgAAQBAJ,9.78151E+12,1510102345,Horrid Henry's Jolly Holidays,Francesca Simon,Hachette UK,02/11/2017,Juvenile Fiction,5,1,0,0,0,0,http://books.google.com/books/content?id=d6IyDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
lR19DwAAQBAJ,9.78151E+12,1510106235,Horrid Henry Early Reader: Horrid Henry’s Injection,Francesca Simon,Hachette UK,04/04/2019,Juvenile Fiction,0,0,0,0,0,0,http://books.google.com/books/content?id=lR19DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
R-5VFSu9aIkC,9.78014E+12,142000655,East of Eden,John Steinbeck,Penguin,2002,Fiction,4.5,212,0,0,0,0,http://books.google.com/books/content?id=R-5VFSu9aIkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Kqa-LNTu_TkC,9.78144E+12,1440673314,Journal of a Novel,John Steinbeck,Penguin,01/12/1990,Literary Criticism,4.5,7,0,0,0,0,http://books.google.com/books/content?id=Kqa-LNTu_TkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
BQriAAAAQBAJ,9.7894E+12,9401209685,East of Eden.,Michael J. Meyer,Rodopi,2013,Literary Criticism,0,0,0,0,0,0,http://books.google.com/books/content?id=BQriAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
OPy6E5ZhXs0C,9.78144E+12,1440631328,East of Eden,John Steinbeck,Penguin,05/02/2002,Fiction,4.5,203,0,0,0,0,http://books.google.com/books/content?id=OPy6E5ZhXs0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
KKgBWd01DyYC,9.7819E+12,1904505155,East of Eden,Andrei Marinescu,Peter Lang,2005,Drama,0,0,0,0,0,0,http://books.google.com/books/content?id=KKgBWd01DyYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
9K88DwAAQBAJ,9.78179E+12,1788037731,Somewhere East of Eden,Michael McKeown,Troubador Publishing Ltd,07/11/2017,Sports | Recreation,0,0,0,0,0,0,http://books.google.com/books/content?id=9K88DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
ivxgDwAAQBAJ,9.78179E+12,1785766120,The Familiars,Stacey Halls,Bonnier Zaffre Ltd.,04/02/2019,Fiction,4.5,8,0,0,0,0,http://books.google.com/books/content?id=ivxgDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
X83V3-Pr2u4C,9.78146E+12,145961285X,Mice,Gordon Reece,ReadHowYouWant.com,04/03/2011,None,4,7,0,0,0,0,http://books.google.com/books/content?id=X83V3-Pr2u4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
e5NiDgAAQBAJ,9.78014E+12,141389109,Martin's Mice,Dick King-Smith,Penguin UK,06/07/2017,Juvenile Fiction,0,0,0,0,0,0,http://books.google.com/books/content?id=e5NiDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
qKqtA8nheg0C,9.78036E+12,035604338X,Mice,Jenny Vaughan,None,1973,Mice,0,0,0,0,0,0,http://books.google.com/books/content?id=qKqtA8nheg0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
HPw0C2i8QXkC,9781139488532,1139488538,Carnivoran Evolution,Anjali Goswami,Cambridge University Press,2010-07-29,Science,0.0,0,0,0,0,0,http://books.google.com/books/content?id=HPw0C2i8QXkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
D9IPnOphym4C,9781564320971,1564320979,War Crimes in Bosnia-Hercegovina,Helsinki Watch (Organization : U.S.),Human Rights Watch,1992,Atrocities,0.0,0,0,0,0,0,http://books.google.com/books/content?id=D9IPnOphym4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
OIvMyJIQuKMC,9780691016368,0691016364,Making Mice,Karen Rader,Princeton University Press,2004-03-21,Medical,0.0,0,0,0,0,0,http://books.google.com/books/content?id=OIvMyJIQuKMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
jULRWNm7l04C,9781444003055,1444003054,Christmas Cracker,Francesca Simon,Hachette UK,2010-11-04,Juvenile Fiction,5.0,1,0,0,0,0,http://books.google.com/books/content?id=jULRWNm7l04C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Ej-NBQAAQBAJ,9781444008814,1444008811,Horrid Henry and the Comfy Black Chair,Francesca Simon,Hachette UK,2015-04-09,Juvenile Fiction,0.0,0,0,0,0,0,http://books.google.com/books/content?id=Ej-NBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
8axDpeqi3-oC,9781444009422,1444009427,Horrid Henry's Homework,Francesca Simon,Hachette UK,2013-07-18,Juvenile Fiction,0.0,0,0,0,0,0,http://books.google.com/books/content?id=8axDpeqi3-oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Gu46DQAAQBAJ,9781510101999,1510101993,Horrid Henry's Swimming Lesson,Francesca Simon,Hachette UK,2017-04-06,Juvenile Fiction,0.0,0,0,0,0,0,http://books.google.com/books/content?id=Gu46DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1oeqlWSsNZEC,9781402246661,1402246668,Horrid Henry's Stinkbomb,Francesca Simon,Sourcebooks| Inc.,2009-04-01,Juvenile Fiction,4.0,1,0,0,0,0,http://books.google.com/books/content?id=1oeqlWSsNZEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
uzcjjgEACAAJ,9781908745477,1908745479,Ice,Ulla-Lena Lundberg,None,2016-02-04,None,0.0,0,0,0,0,0,http://books.google.com/books/content?id=uzcjjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
vTDiswEACAAJ,9781538730171,1538730170,The Girl in the Ice,Robert Bryndza,Grand Central Publishing,2019-02-26,Fiction,0.0,0,0,0,0,0,http://books.google.com/books/content?id=vTDiswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
DN9Ju6oiSWkC,9780306477003,0306477009,Ice Cream,Robert T. Marshall,Springer Science & Business Media,2003,Technology | Engineering,5.0,2,0,0,0,0,http://books.google.com/books/content?id=DN9Ju6oiSWkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
bKZ1oICZWywC,9780854046294,0854046291,The Science of Ice Cream,Chris Clarke,Royal Society of Chemistry,2004,Science,5.0,2,0,0,0,0,http://books.google.com/books/content?id=bKZ1oICZWywC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Egg6Y9-19xoC,9780873226691,0873226690,Ice Skating,Karin Künzle-Watson,Human Kinetics,1996,Medical,5.0,3,0,0,0,0,http://books.google.com/books/content?id=Egg6Y9-19xoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
rj-o6if5ZfIC,9780486135878,048613587X,Old-Fashioned Homemade Ice Cream,Thomas R. Quinn,Courier Corporation,2012-03-08,Cooking,5.0,1,0,0,0,0,http://books.google.com/books/content?id=rj-o6if5ZfIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
XQ-MswEACAAJ,9780727761668,0727761668,Seismic Design of Foundations,Subhamoy Bhattacharya,None,2018-10,None,5.0,8,0,0,0,0,http://books.google.com/books/content?id=XQ-MswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
qevXzRpno-8C,9789251050101,9251050104,The Use of Ice on Small Fishing Vessels,Michael Shawyer,Food & Agriculture Org.,2003-01-01,Business | Economics,0.0,0,0,0,0,0,http://books.google.com/books/content?id=qevXzRpno-8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
V_AdMRb0yo4C,9780727716170,0727716174,ICE Conditions of Contract,Institution of Civil Engineers (Great Britain),Thomas Telford,1991-01-01,Technology | Engineering,0.0,0,0,0,0,0,http://books.google.com/books/content?id=V_AdMRb0yo4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1elpxy2oCW4C,9780571275328,057127532X,Harvest of the Cold Months,Elizabeth David,Faber & Faber,2011-01-20,History,4.5,2,0,0,0,0,http://books.google.com/books/content?id=1elpxy2oCW4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
